source,external_id,external_url,first_name,last_name,display_name,country_code,gender,category,club_name,club_country_code,ranking_value,rank,ranked_at,confidence_level,total_players
ITTF,121558,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=121558,Chuqin,Wang,Chuqin Wang,CN,M,SENIOR,,,12152,1,2026-05-12,HIGH,
ITTF,122044,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=122044,Truls,Moregard,Truls Moregard,SE,M,SENIOR,,,6750,2,2026-05-12,HIGH,
ITTF,123980,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=123980,Tomokazu,Harimoto,Tomokazu Harimoto,JP,M,SENIOR,,,6333,3,2026-05-12,HIGH,
ITTF,135977,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=135977,Felix,Lebrun,Felix Lebrun,FR,M,SENIOR,,,5699,4,2026-05-12,HIGH,
ITTF,137237,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=137237,Shidong,Lin,Shidong Lin,CN,M,SENIOR,,,5276,5,2026-05-12,HIGH,
ITTF,115641,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=115641,Hugo,Calderano,Hugo Calderano,BR,M,SENIOR,,,5260,6,2026-05-12,HIGH,
ITTF,121582,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=121582,Yun-Ju,Lin,Yun-Ju Lin,TW,M,SENIOR,,,4720,7,2026-05-12,HIGH,
ITTF,135996,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=135996,Sora,Matsushima,Sora Matsushima,JP,M,SENIOR,,,4598,8,2026-05-12,HIGH,
ITTF,114936,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=114936,Woojin,Jang,Woojin Jang,KR,M,SENIOR,,,2826,9,2026-05-12,HIGH,
ITTF,114715,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=114715,Dang,Qiu,Dang Qiu,DE,M,SENIOR,,,2793,10,2026-05-12,HIGH,
ITTF,203067,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=203067,Ruibo,Wen,Ruibo Wen,CN,M,SENIOR,,,2625,11,2026-05-12,HIGH,
ITTF,132992,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=132992,Alexis,Lebrun,Alexis Lebrun,FR,M,SENIOR,,,2607,12,2026-05-12,HIGH,
ITTF,116620,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=116620,Benedikt,Duda,Benedikt Duda,DE,M,SENIOR,,,2427,13,2026-05-12,HIGH,
ITTF,118927,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=118927,Darko,Jorgic,Darko Jorgic,SI,M,SENIOR,,,2240,14,2026-05-12,HIGH,
ITTF,133694,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=133694,Shunsuke,Togami,Shunsuke Togami,JP,M,SENIOR,,,2083,15,2026-05-12,HIGH,
ITTF,119588,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=119588,Jingkun,Liang,Jingkun Liang,CN,M,SENIOR,,,2064,16,2026-05-12,HIGH,
ITTF,115029,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=115029,Anders,Lind,Anders Lind,DK,M,SENIOR,,,1927,17,2026-05-12,HIGH,
ITTF,135888,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=135888,Peng,Xiang,Peng Xiang,CN,M,SENIOR,,,1895,18,2026-05-12,HIGH,
ITTF,102832,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=102832,Patrick,Franziska,Patrick Franziska,DE,M,SENIOR,,,1885,19,2026-05-12,HIGH,
ITTF,144528,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=144528,Flavien,Coton,Flavien Coton,FR,M,SENIOR,,,1749,20,2026-05-12,HIGH,
ITTF,112062,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=112062,Simon,Gauzy,Simon Gauzy,FR,M,SENIOR,,,1740,21,2026-05-12,HIGH,
ITTF,121514,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=121514,Jaehyun,An,Jaehyun An,KR,M,SENIOR,,,1698,22,2026-05-12,HIGH,
ITTF,119533,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=119533,Qihao,Zhou,Qihao Zhou,CN,M,SENIOR,,,1630,23,2026-05-12,HIGH,
ITTF,107028,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=107028,Dimitrij,Ovtcharov,Dimitrij Ovtcharov,DE,M,SENIOR,,,1535,24,2026-05-12,HIGH,
ITTF,135050,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=135050,Yuanyu,Chen,Yuanyu Chen,CN,M,SENIOR,,,1505,25,2026-05-12,HIGH,
ITTF,134718,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=134718,Thibault,Poret,Thibault Poret,FR,M,SENIOR,,,1420,26,2026-05-12,HIGH,
ITTF,116021,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=116021,Kanak,Jha,Kanak Jha,US,M,SENIOR,,,1265,27,2026-05-12,HIGH,
ITTF,116532,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=116532,Tomislav,Pucar,Tomislav Pucar,HR,M,SENIOR,,,1254,28,2026-05-12,HIGH,
ITTF,122777,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=122777,Yukiya,Uda,Yukiya Uda,JP,M,SENIOR,,,1245,29,2026-05-12,HIGH,
ITTF,135367,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=135367,Junsung,Oh,Junsung Oh,KR,M,SENIOR,,,1177,30,2026-05-12,HIGH,
ITTF,100696,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=100696,Omar,Assar,Omar Assar,EG,M,SENIOR,,,1024,31,2026-05-12,HIGH,
ITTF,116853,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=116853,Anton,Kallberg,Anton Kallberg,SE,M,SENIOR,,,1013,32,2026-05-12,HIGH,
ITTF,134442,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=134442,Hiroto,Shinozuka,Hiroto Shinozuka,JP,M,SENIOR,,,945,33,2026-05-12,HIGH,
ITTF,134800,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=134800,Nicholas,Lum,Nicholas Lum,AU,M,SENIOR,,,888,34,2026-05-12,HIGH,
ITTF,124576,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=124576,Vladimir,Sidorenko,Vladimir Sidorenko,XX,M,SENIOR,,,795,35,2026-05-12,HIGH,
ITTF,117890,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=117890,Kirill,Gerassimenko,Kirill Gerassimenko,KZ,M,SENIOR,,,788,36,2026-05-12,HIGH,
ITTF,123682,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=123682,Manav,Thakkar,Manav Thakkar,IN,M,SENIOR,,,786,37,2026-05-12,HIGH,
ITTF,112409,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=112409,Jonathan,Groth,Jonathan Groth,DK,M,SENIOR,,,778,38,2026-05-12,HIGH,
ITTF,204288,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=204288,Junsong,Chen,Junsong Chen,CN,M,SENIOR,,,775,39,2026-05-12,HIGH,
ITTF,135023,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=135023,Eduard,Ionescu,Eduard Ionescu,RO,M,SENIOR,,,756,40,2026-05-12,HIGH,
ITTF,121684,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=121684,Tom,Jarvis,Tom Jarvis,GB,M,SENIOR,,,733,41,2026-05-12,HIGH,
ITTF,131375,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=131375,Yuta,Tanaka,Yuta Tanaka,JP,M,SENIOR,,,725,42,2026-05-12,HIGH,
ITTF,104379,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=104379,Kristian,Karlsson,Kristian Karlsson,SE,M,SENIOR,,,720,43,2026-05-12,HIGH,
ITTF,104036,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=104036,Lubomir,Jancarik,Lubomir Jancarik,CZ,M,SENIOR,,,708,44,2026-05-12,HIGH,
ITTF,131798,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=131798,Finn,Luu,Finn Luu,AU,M,SENIOR,,,703,45,2026-05-12,HIGH,
ITTF,112620,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=112620,Chun Ting,Wong,Chun Ting Wong,HK,M,SENIOR,,,702,46,2026-05-12,HIGH,
ITTF,103126,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=103126,Sathiyan,Gnanasekaran,Sathiyan Gnanasekaran,IN,M,SENIOR,,,678,47,2026-05-12,HIGH,
ITTF,117002,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=117002,Joe,Seyfried,Joe Seyfried,FR,M,SENIOR,,,675,48,2026-05-12,HIGH,
ITTF,200044,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=200044,Guan-Hong,Kuo,Guan-Hong Kuo,TW,M,SENIOR,,,668,49,2026-05-12,HIGH,
ITTF,115396,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=115396,Joao,Geraldo,Joao Geraldo,PT,M,SENIOR,,,667,50,2026-05-12,HIGH,
ITTF,117113,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=117113,Maharu,Yoshimura,Maharu Yoshimura,JP,M,SENIOR,,,648,51,2026-05-12,HIGH,
ITTF,123659,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=123659,Adrien,Rassenfosse,Adrien Rassenfosse,BE,M,SENIOR,,,644,52,2026-05-12,HIGH,
ITTF,135019,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=135019,Milosz,Redzimski,Milosz Redzimski,PL,M,SENIOR,,,628,53,2026-05-12,HIGH,
ITTF,116820,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=116820,Ganghyeon,Park,Ganghyeon Park,KR,M,SENIOR,,,625,54,2026-05-12,HIGH,
ITTF,122727,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=122727,Yi-Hsin,Feng,Yi-Hsin Feng,TW,M,SENIOR,,,625,55,2026-05-12,HIGH,
