source,external_id,external_url,first_name,last_name,display_name,country_code,gender,category,club_name,club_country_code,ranking_value,rank,ranked_at,confidence_level,total_players
ITTF,131163,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=131163,Yingsha,Sun,Yingsha Sun,CN,F,SENIOR,,,11350,1,2026-05-12,HIGH,
ITTF,121411,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=121411,Manyu,Wang,Manyu Wang,CN,F,SENIOR,,,9867,2,2026-05-12,HIGH,
ITTF,136711,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=136711,Miwa,Harimoto,Miwa Harimoto,JP,F,SENIOR,,,4839,3,2026-05-12,HIGH,
ITTF,121403,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=121403,Xingtong,Chen,Xingtong Chen,CN,F,SENIOR,,,4830,4,2026-05-12,HIGH,
ITTF,117332,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=117332,Yuling,Zhu,Yuling Zhu,MO,F,SENIOR,,,4715,5,2026-05-12,HIGH,
ITTF,132132,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=132132,Yi,Chen,Yi Chen,CN,F,SENIOR,,,4385,6,2026-05-12,HIGH,
ITTF,135049,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=135049,Man,Kuai,Man Kuai,CN,F,SENIOR,,,4263,7,2026-05-12,HIGH,
ITTF,124110,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=124110,Yidi,Wang,Yidi Wang,CN,F,SENIOR,,,3947,8,2026-05-12,HIGH,
ITTF,111066,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=111066,Sabine,Winter,Sabine Winter,DE,F,SENIOR,,,3785,9,2026-05-12,HIGH,
ITTF,123672,https://results.ittf.link/index.php/player-profile/list/60?resetfilters=1&vw_profiles___player_id_raw=123672,Hina,Hayata,Hina Hayata,JP,F,SENIOR,,,3415,10,2026-05-12,HIGH,
