source,external_id,external_url,first_name,last_name,display_name,country_code,gender,category,club_name,club_country_code,ranking_value,rank,ranked_at,confidence_level,total_players
WTT,WTT-DEMO-001,,WTT,Demo 01,WTT Demo Player 01,CN,M,SENIOR,,,8500,1,2026-05-01,HIGH,1000
WTT,WTT-DEMO-002,,WTT,Demo 02,WTT Demo Player 02,JP,F,SENIOR,,,8100,2,2026-05-01,HIGH,1000
WTT,WTT-DEMO-003,,WTT,Demo 03,WTT Demo Player 03,DE,M,SENIOR,,,7800,3,2026-05-01,HIGH,1000
WTT,WTT-DEMO-004,,WTT,Demo 04,WTT Demo Player 04,FR,F,SENIOR,,,7600,4,2026-05-01,HIGH,1000
WTT,WTT-DEMO-005,,WTT,Demo 05,WTT Demo Player 05,KR,M,SENIOR,,,7300,5,2026-05-01,HIGH,1000
WTT,WTT-DEMO-006,,WTT,Demo 06,WTT Demo Player 06,BR,F,SENIOR,,,7100,6,2026-05-01,HIGH,1000
WTT,WTT-DEMO-007,,WTT,Demo 07,WTT Demo Player 07,SE,M,SENIOR,,,6900,7,2026-05-01,HIGH,1000
WTT,WTT-DEMO-008,,WTT,Demo 08,WTT Demo Player 08,RO,F,SENIOR,,,6700,8,2026-05-01,HIGH,1000
WTT,WTT-DEMO-009,,WTT,Demo 09,WTT Demo Player 09,TW,M,SENIOR,,,6500,9,2026-05-01,HIGH,1000
WTT,WTT-DEMO-010,,WTT,Demo 10,WTT Demo Player 10,US,F,SENIOR,,,6300,10,2026-05-01,HIGH,1000
WTT,WTT-DEMO-011,,WTT,Demo 11,WTT Demo Player 11,IN,M,SENIOR,,,6100,11,2026-05-01,HIGH,1000
WTT,WTT-DEMO-012,,WTT,Demo 12,WTT Demo Player 12,ES,F,SENIOR,,,5900,12,2026-05-01,HIGH,1000
WTT,WTT-DEMO-013,,WTT,Demo 13,WTT Demo Player 13,PT,M,SENIOR,,,5700,13,2026-05-01,HIGH,1000
WTT,WTT-DEMO-014,,WTT,Demo 14,WTT Demo Player 14,IT,F,SENIOR,,,5500,14,2026-05-01,HIGH,1000
WTT,WTT-DEMO-015,,WTT,Demo 15,WTT Demo Player 15,GB,M,SENIOR,,,5300,15,2026-05-01,HIGH,1000
WTT,WTT-DEMO-016,,WTT,Demo 16,WTT Demo Player 16,BE,F,SENIOR,,,5100,16,2026-05-01,HIGH,1000
WTT,WTT-DEMO-017,,WTT,Demo 17,WTT Demo Player 17,PL,M,SENIOR,,,4900,17,2026-05-01,HIGH,1000
WTT,WTT-DEMO-018,,WTT,Demo 18,WTT Demo Player 18,DK,F,SENIOR,,,4700,18,2026-05-01,HIGH,1000
WTT,WTT-DEMO-019,,WTT,Demo 19,WTT Demo Player 19,AT,M,SENIOR,,,4500,19,2026-05-01,HIGH,1000
WTT,WTT-DEMO-020,,WTT,Demo 20,WTT Demo Player 20,NL,F,SENIOR,,,4300,20,2026-05-01,HIGH,1000
